,LOC,MEAS,EQPT,TEST_FLOW,IND_STEP,DPN,CAP,HEADS,DISCS,2025_FW1,2025_FW2,2025_FW3,2025_FW4,2025_FW5,2025_FW6,2025_FW7,2025_FW8,2025_FW9,2025_FW10,2025_FW11,2025_FW12,2025_FW13
87,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,2000,3,2,0.962,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776,0.9776
88,WUX,YD,GEMINI_IO,GG,CRT2,CIMARRONBPSAS,2000,3,2,0.9608433324915922,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323,1.011890598224323
89,WUX,YD,GEMINI_IO,GG,FIN2,CIMARRONBPSAS,2000,3,2,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985,0.985
90,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,4000,4,2,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788,0.9788
91,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,4000,4,2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
92,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,4000,4,2,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968,0.968
93,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,4000,4,2,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
94,WUX,YD,GEMINI_IO,GG,CRT2,CIMARRONBPSAS,4000,4,2,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022,0.9748065047329022
95,WUX,YD,GEMINI_IO,GG,FIN2,CIMARRONBPSAS,4000,4,2,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983
96,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,4000,5,3,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
97,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,4000,5,3,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
98,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,4000,5,3,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
99,WUX,YD,GEMINI_IO,GG,FNC2,CIMARRONBPSAS,4000,5,3,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
100,WUX,YD,GEMINI_IO,GG,CRT2,CIMARRONBPSAS,4000,5,3,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296,0.9960408209665296
101,WUX,YD,GEMINI_IO,GG,FIN2,CIMARRONBPSAS,4000,5,3,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838,0.9838
102,WUX,YD,GEMINI_IO,GG,SCOPY,CIMARRONBPSAS,6000,6,3,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974
103,WUX,YD,GEMINI_IO,GG,PRE2,CIMARRONBPSAS,6000,6,3,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966,0.966
104,WUX,YD,GEMINI_IO,GG,CAL2,CIMARRONBPSAS,6000,6,3,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924
